contractAddress,ABI,ContractName,CompilerVersion,OptimizationUsed,Runs,ConstructorArguments,EVMVersion,Library,LicenseType,Proxy,Implementation,SwarmSource
0x1b75b90e60070d37cfa9d87affd124bb345bf70a,"[{""constant"":true,""inputs"":[],""name"":""LOCK_START_TIME"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""LOCK_END_TIME"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""LOCK_DROP_PERIOD"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_origin"",""type"":""address""},{""name"":""_nonce"",""type"":""uint32""}],""name"":""addressFrom"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""pure"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""contractAddr"",""type"":""address""},{""name"":""nonce"",""type"":""uint32""},{""name"":""edgewareAddr"",""type"":""bytes""}],""name"":""signal"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""term"",""type"":""uint8""},{""name"":""edgewareAddr"",""type"":""bytes""},{""name"":""isValidator"",""type"":""bool""}],""name"":""lock"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""inputs"":[{""name"":""startTime"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""owner"",""type"":""address""},{""indexed"":false,""name"":""eth"",""type"":""uint256""},{""indexed"":false,""name"":""lockAddr"",""type"":""address""},{""indexed"":false,""name"":""term"",""type"":""uint8""},{""indexed"":false,""name"":""edgewareAddr"",""type"":""bytes""},{""indexed"":false,""name"":""isValidator"",""type"":""bool""},{""indexed"":false,""name"":""time"",""type"":""uint256""}],""name"":""Locked"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""contractAddr"",""type"":""address""},{""indexed"":false,""name"":""edgewareAddr"",""type"":""bytes""},{""indexed"":false,""name"":""time"",""type"":""uint256""}],""name"":""Signaled"",""type"":""event""}]",Lockdrop,v0.5.0+commit.1d4f565a,0,200,000000000000000000000000000000000000000000000000000000005cf1c000,Default,,,0,,bzzr://868fd64e7d9a1209f19723fa336e20eebc0effcbbd6c498584f06d85f9379a09
0x55011de64cffc2c79007f6aa82ec1e6df7193bf5,Contract source code not verified,,,,,,Default,,Unknown,0,,
0xa8fbf2c5508328507c25ff5e66eff773e2a04a78,Contract source code not verified,,,,,,Default,,Unknown,0,,
0xe9fcd2ded4a1c35cc84b4504e1d7df609a00ee43,Contract source code not verified,,,,,,Default,,Unknown,0,,
0x816d5091bfc7fb29945ab9d2386d867bb5d6b002,Contract source code not verified,,,,,,Default,,Unknown,0,,
0x0e9bc39206663730e73b10fc3dcddaec966fe72e,Contract source code not verified,,,,,,Default,,Unknown,0,,
